"","NUMBOL","Tipo","P1","P2","P4","P6","P10","P12","P14","P15A","P16","P17","P20","P23","P28","P30","P31A","P32","P33","P34","P35","P36A","P129A","P130A","P131A","P132A","P133A","P134","P135","P136","P137","P138","P139","P140","P148","P149","P150","P151","P152","P153","P154A","P155","P156A","P156B","P156C","P156D","P156E","P156F","P156G","P156H","P156I","P156J","P156K","P157","P158","P159","P160","CodP160","Ponderador5536","Nse"
"947",10653,"1",53,"1","2","2","9","1",1000,"1","2","2","1","3","1",500,"1","1","1",50,"4","1","1","1","3","3","1","1","1","3","3","3","3","3","2","6","2","1","AC","4","1","3","1","1","1","2","2","2","2","1","1","1","2","5","4","1","Santa Cruz","70",1.61421206239234,"2"
"948",10664,"1",21,"1","2","2","9","1",1900,"2","1","2","1","3","1",1200,"1","1","1",120,"5","1","1","1","5","1","3","1","1","1","1","1","1","1","1","4","1","1","ES","6","2","3","1","1","1","2","2","2","2","1","1","2","2","5","4","1","Santa Cruz","70",1.61421206239234,"2"
"949",10671,"1",24,"1","2","2","9","1",1500,"4","2","2","1","3","1",940,"1","1","3",150,"4","1","6","6","6","6","3","6","1","3","3","2","1","1","2","6","1","1","CP","4","2","3","1","1","1","2","2","2","2","2","1","2","2","4","4","1","Santa Cruz","70",1.61421206239234,"2"
"950",10675,"1",28,"1","1","2","9","1",1600,"1","2","2","1","3","1",800,"1","1","1",100,"4","1","1","5","5","3","6","6","1","3","3","3","3","6","2","6","3","1","AS","4","1","2","1","1","1","2","2","2","2","1","1","2","2","3","4","1","Santa Cruz","70",1.61421206239234,"1"
"951",10678,"1",20,"1","2","2","9","1",3400,"4","2","1","1","3","1",750,"1","1","1",50,"5","1","1","1","1","1","3","1","1","1","1","1","1","1","2","6","1","1","ES","4","1","2","1","1","1","2","2","2","2","1","2","2","2","4","4","1","Santa Cruz","70",1.61421206239234,"2"
"952",10681,"1",41,"1","2","2","9","1",2900,"2","2","1","1","3","1",750,"1","1","3",100,"5","1","1","2","1","1","3","1","2","2","1","1","2","2","1","4","2","1","AS","4","1","4","1","1","1","1","1","1","1","1","1","2","2","3","4","1","Santa Cruz","70",1.61421206239234,"3"
"953",10682,"1",29,"1","1","2","9","1",1900,"1","2","1","1","3","1",1200,"1","1","1",120,"5","1","1","1","1","1","3","1","1","1","1","1","1","1","2","4","2","1","NP","4","1","4","1","1","1","1","1","1","1","1","1","2","2","4","4","1","Santa Cruz","70",1.61421206239234,"3"
"954",10689,"1",25,"1","1","1","4","1",1400,"3","1","2","1","3","1",1050,"1","1","3",150,"4","1","6","6","6","6","3","6","6","1","1","7","1","6","2","6","2","1","AC","4","1","3","1","1","1","2","2","1","2","1","1","2","2","3","4","1","Santa Cruz","70",1.61421206239234,"3"
"955",10691,"1",18,"1","2","1","5","1",1500,"1","1","2","1","3","1",750,"1","1","3",50,"4","1","6","6","3","3","3","6","6","1","1","1","6","6","2","3","1","1","ES","7","1","5","1","1","1","1","2","1","1","2","1","1","2","4","4","1","Santa Cruz","70",1.61421206239234,"5"
"956",10693,"1",20,"1","2","2","9","1",900,"4","2","2","1","3","1",850,"1","1","3",100,"4","1","6","6","6","3","3","6","7","3","3","3","1","1","2","6","1","1","ES","7","1","4","1","1","1","2","2","1","2","1","1","1","2","7","4","1","Santa Cruz","70",1.61421206239234,"3"
